attack,defense1,defense2,multiplier
Rock,Normal,Ice,2.0
Ghost,Normal,Ice,0.0
Dragon,Normal,Ice,1.0
Dark,Normal,Ice,1.0
Steel,Normal,Ice,2.0
Fairy,Normal,Ice,1.0
Normal,Normal,Fighting,1.0
Fire,Normal,Fighting,1.0
Water,Normal,Fighting,1.0
Electric,Normal,Fighting,1.0
Grass,Normal,Fighting,1.0
Ice,Normal,Fighting,1.0
Fighting,Normal,Fighting,2.0
Poison,Normal,Fighting,1.0
Ground,Normal,Fighting,1.0
Flying,Normal,Fighting,2.0
Psychic,Normal,Fighting,2.0
Bug,Normal,Fighting,0.5
Rock,Normal,Fighting,0.5
Ghost,Normal,Fighting,0.0
Dragon,Normal,Fighting,1.0
Dark,Normal,Fighting,0.5
Steel,Normal,Fighting,1.0
Fairy,Normal,Fighting,2.0
Normal,Normal,Poison,1.0
Fire,Normal,Poison,1.0
Water,Normal,Poison,1.0
Electric,Normal,Poison,1.0
Grass,Normal,Poison,0.5
Ice,Normal,Poison,1.0
Fighting,Normal,Poison,1.0
Poison,Normal,Poison,0.5
Ground,Normal,Poison,2.0
Flying,Normal,Poison,1.0
Psychic,Normal,Poison,2.0
Bug,Normal,Poison,0.5
Rock,Normal,Poison,1.0
Ghost,Normal,Poison,0.0
Dragon,Normal,Poison,1.0
Dark,Normal,Poison,1.0
Steel,Normal,Poison,1.0
Fairy,Normal,Poison,0.5
Normal,Normal,Ground,1.0
Fire,Normal,Ground,1.0
Water,Normal,Ground,2.0
Electric,Normal,Ground,0.0
Grass,Normal,Ground,2.0
Ice,Normal,Ground,2.0
Fighting,Normal,Ground,2.0
Poison,Normal,Ground,0.5
Ground,Normal,Ground,1.0
Flying,Normal,Ground,1.0
Psychic,Normal,Ground,1.0
Bug,Normal,Ground,1.0
Rock,Normal,Ground,0.5
Ghost,Normal,Ground,0.0
Dragon,Normal,Ground,1.0
Dark,Normal,Ground,1.0
Steel,Normal,Ground,1.0
Fairy,Normal,Ground,1.0
Normal,Normal,Flying,1.0
Fire,Normal,Flying,1.0
Water,Normal,Flying,1.0
Electric,Normal,Flying,2.0
Grass,Normal,Flying,0.5
Ice,Normal,Flying,2.0
Fighting,Normal,Flying,1.0
Poison,Normal,Flying,1.0
Ground,Normal,Flying,0.0
Flying,Normal,Flying,1.0
Psychic,Normal,Flying,1.0
Bug,Normal,Flying,0.5
Rock,Normal,Flying,2.0
Ghost,Normal,Flying,0.0
Dragon,Normal,Flying,1.0
Dark,Normal,Flying,1.0
Steel,Normal,Flying,1.0
Fairy,Normal,Flying,1.0
Normal,Normal,Psychic,1.0
Fire,Normal,Psychic,1.0
Water,Normal,Psychic,1.0
Electric,Normal,Psychic,1.0
Grass,Normal,Psychic,1.0
Ice,Normal,Psychic,1.0
Fighting,Normal,Psychic,1.0
Poison,Normal,Psychic,1.0
Ground,Normal,Psychic,1.0
Flying,Normal,Psychic,1.0
Psychic,Normal,Psychic,0.5
Bug,Normal,Psychic,2.0
Rock,Normal,Psychic,1.0
Ghost,Normal,Psychic,0.0
Dragon,Normal,Psychic,1.0
Dark,Normal,Psychic,2.0
Steel,Normal,Psychic,1.0
Fairy,Normal,Psychic,1.0
Normal,Normal,Bug,1.0
Fire,Normal,Bug,2.0
Water,Normal,Bug,1.0
Electric,Normal,Bug,1.0
Grass,Normal,Bug,0.5
Ice,Normal,Bug,1.0
Fighting,Normal,Bug,1.0
Poison,Normal,Bug,1.0
Ground,Normal,Bug,0.5
Flying,Normal,Bug,2.0
Psychic,Normal,Bug,1.0
Bug,Normal,Bug,1.0
Rock,Normal,Bug,2.0
Ghost,Normal,Bug,0.0
Dragon,Normal,Bug,1.0
Dark,Normal,Bug,1.0
Steel,Normal,Bug,1.0
Fairy,Normal,Bug,1.0
Normal,Normal,Rock,0.5
Fire,Normal,Rock,0.5
Water,Normal,Rock,2.0
Electric,Normal,Rock,1.0
Grass,Normal,Rock,2.0
Ice,Normal,Rock,1.0
Fighting,Normal,Rock,4.0
Poison,Normal,Rock,0.5
Ground,Normal,Rock,2.0
Flying,Normal,Rock,0.5
Psychic,Normal,Rock,1.0
Bug,Normal,Rock,1.0
Rock,Normal,Rock,1.0
Ghost,Normal,Rock,0.0
Dragon,Normal,Rock,1.0
Dark,Normal,Rock,1.0
Steel,Normal,Rock,2.0
Fairy,Normal,Rock,1.0
Normal,Normal,Ghost,0.0
Fire,Normal,Ghost,1.0
Water,Normal,Ghost,1.0
Electric,Normal,Ghost,1.0
Grass,Normal,Ghost,1.0
Ice,Normal,Ghost,1.0
Fighting,Normal,Ghost,0.0
Poison,Normal,Ghost,0.5
Ground,Normal,Ghost,1.0
Flying,Normal,Ghost,1.0
Psychic,Normal,Ghost,1.0
Bug,Normal,Ghost,0.5
Rock,Normal,Ghost,1.0
Ghost,Normal,Ghost,0.0
Dragon,Normal,Ghost,1.0
Dark,Normal,Ghost,2.0
Steel,Normal,Ghost,1.0
Fairy,Normal,Ghost,1.0
Normal,Normal,Dragon,1.0
Fire,Normal,Dragon,0.5
Water,Normal,Dragon,0.5
Electric,Normal,Dragon,0.5
Grass,Normal,Dragon,0.5
Ice,Normal,Dragon,2.0
Fighting,Normal,Dragon,2.0
Poison,Normal,Dragon,1.0
Ground,Normal,Dragon,1.0
Flying,Normal,Dragon,1.0
Psychic,Normal,Dragon,1.0
Bug,Normal,Dragon,1.0
Rock,Normal,Dragon,1.0
Ghost,Normal,Dragon,0.0
Dragon,Normal,Dragon,2.0
Dark,Normal,Dragon,1.0
Steel,Normal,Dragon,1.0
Fairy,Normal,Dragon,2.0
Normal,Normal,Dark,1.0
Fire,Normal,Dark,1.0
Water,Normal,Dark,1.0
Electric,Normal,Dark,1.0
Grass,Normal,Dark,1.0
Ice,Normal,Dark,1.0
Fighting,Normal,Dark,4.0
Poison,Normal,Dark,1.0
Ground,Normal,Dark,1.0
Flying,Normal,Dark,1.0
Psychic,Normal,Dark,0.0
Bug,Normal,Dark,2.0
Rock,Normal,Dark,1.0
Ghost,Normal,Dark,0.0
Dragon,Normal,Dark,1.0
Dark,Normal,Dark,0.5
Steel,Normal,Dark,1.0
Fairy,Normal,Dark,2.0
Normal,Normal,Steel,0.5
Fire,Normal,Steel,2.0
Water,Normal,Steel,1.0
Electric,Normal,Steel,1.0
Grass,Normal,Steel,0.5
Ice,Normal,Steel,0.5
Fighting,Normal,Steel,4.0
Poison,Normal,Steel,0.0
Ground,Normal,Steel,2.0
Flying,Normal,Steel,0.5
Psychic,Normal,Steel,0.5
Bug,Normal,Steel,0.5
Rock,Normal,Steel,0.5
Ghost,Normal,Steel,0.0
Dragon,Normal,Steel,0.5
Dark,Normal,Steel,1.0
Steel,Normal,Steel,0.5
Fairy,Normal,Steel,0.5
Normal,Normal,Fairy,1.0
Fire,Normal,Fairy,1.0
Water,Normal,Fairy,1.0
Electric,Normal,Fairy,1.0
Grass,Normal,Fairy,1.0
Ice,Normal,Fairy,1.0
Fighting,Normal,Fairy,1.0
Poison,Normal,Fairy,2.0
Ground,Normal,Fairy,1.0
Flying,Normal,Fairy,1.0
Psychic,Normal,Fairy,1.0
Bug,Normal,Fairy,0.5
Rock,Normal,Fairy,1.0
Ghost,Normal,Fairy,0.0
Dragon,Normal,Fairy,0.0
Dark,Normal,Fairy,0.5
Steel,Normal,Fairy,2.0
Fairy,Normal,Fairy,1.0
Normal,Fire,,1.0
Fire,Fire,,0.5
Water,Fire,,2.0
Electric,Fire,,1.0
Grass,Fire,,0.5
Ice,Fire,,0.5
Fighting,Fire,,1.0
Poison,Fire,,1.0
Ground,Fire,,2.0
Flying,Fire,,1.0
Psychic,Fire,,1.0
Bug,Fire,,0.5
Rock,Fire,,2.0
Ghost,Fire,,1.0
Dragon,Fire,,1.0
Dark,Fire,,1.0
Steel,Fire,,0.5
Fairy,Fire,,0.5
Normal,Fire,Normal,1.0
Fire,Fire,Normal,0.5
Water,Fire,Normal,2.0
Electric,Fire,Normal,1.0
Grass,Fire,Normal,0.5
Ice,Fire,Normal,0.5
Fighting,Fire,Normal,2.0
Poison,Fire,Normal,1.0
Ground,Fire,Normal,2.0
Flying,Fire,Normal,1.0
Psychic,Fire,Normal,1.0
Bug,Fire,Normal,0.5
Rock,Fire,Normal,2.0
Ghost,Fire,Normal,0.0
Dragon,Fire,Normal,1.0
Dark,Fire,Normal,1.0
Steel,Fire,Normal,0.5
Fairy,Fire,Normal,0.5
Normal,Fire,Water,1.0
Fire,Fire,Water,0.25
Water,Fire,Water,1.0
Electric,Fire,Water,2.0
Grass,Fire,Water,1.0
Ice,Fire,Water,0.25
Fighting,Fire,Water,1.0
Poison,Fire,Water,1.0
Ground,Fire,Water,2.0
Flying,Fire,Water,1.0
Psychic,Fire,Water,1.0
Bug,Fire,Water,0.5
Rock,Fire,Water,2.0
Ghost,Fire,Water,1.0
Dragon,Fire,Water,1.0
Dark,Fire,Water,1.0
Steel,Fire,Water,0.25
Fairy,Fire,Water,0.5
Normal,Fire,Electric,1.0
Fire,Fire,Electric,0.5
Water,Fire,Electric,2.0
Electric,Fire,Electric,0.5
Grass,Fire,Electric,0.5
Ice,Fire,Electric,0.5
Fighting,Fire,Electric,1.0
Poison,Fire,Electric,1.0
Ground,Fire,Electric,4.0
Flying,Fire,Electric,0.5
Psychic,Fire,Electric,1.0
Bug,Fire,Electric,0.5
Rock,Fire,Electric,2.0
Ghost,Fire,Electric,1.0
Dragon,Fire,Electric,1.0
Dark,Fire,Electric,1.0
Steel,Fire,Electric,0.25
Fairy,Fire,Electric,0.5
Normal,Fire,Grass,1.0
Fire,Fire,Grass,1.0
Water,Fire,Grass,1.0
Electric,Fire,Grass,0.5
Grass,Fire,Grass,0.25
Ice,Fire,Grass,1.0
Fighting,Fire,Grass,1.0
Poison,Fire,Grass,2.0
Ground,Fire,Grass,1.0
Flying,Fire,Grass,2.0
Psychic,Fire,Grass,1.0
Bug,Fire,Grass,1.0
Rock,Fire,Grass,2.0
Ghost,Fire,Grass,1.0
Dragon,Fire,Grass,1.0
Dark,Fire,Grass,1.0
Steel,Fire,Grass,0.5
Fairy,Fire,Grass,0.5
Normal,Fire,Ice,1.0
Fire,Fire,Ice,1.0
Water,Fire,Ice,2.0
Electric,Fire,Ice,1.0
Grass,Fire,Ice,0.5
Ice,Fire,Ice,0.25
Fighting,Fire,Ice,2.0
Poison,Fire,Ice,1.0
Ground,Fire,Ice,2.0
Flying,Fire,Ice,1.0
Psychic,Fire,Ice,1.0
Bug,Fire,Ice,0.5
Rock,Fire,Ice,4.0
Ghost,Fire,Ice,1.0
Dragon,Fire,Ice,1.0
Dark,Fire,Ice,1.0
Steel,Fire,Ice,1.0
Fairy,Fire,Ice,0.5
Normal,Fire,Fighting,1.0
Fire,Fire,Fighting,0.5
Water,Fire,Fighting,2.0
Electric,Fire,Fighting,1.0
Grass,Fire,Fighting,0.5
Ice,Fire,Fighting,0.5
Fighting,Fire,Fighting,1.0
Poison,Fire,Fighting,1.0
Ground,Fire,Fighting,2.0
Flying,Fire,Fighting,2.0
Psychic,Fire,Fighting,2.0
Bug,Fire,Fighting,0.25
Rock,Fire,Fighting,1.0
Ghost,Fire,Fighting,1.0
Dragon,Fire,Fighting,1.0
Dark,Fire,Fighting,0.5
Steel,Fire,Fighting,0.5
Fairy,Fire,Fighting,1.0
Normal,Fire,Poison,1.0
Fire,Fire,Poison,0.5
Water,Fire,Poison,2.0
Electric,Fire,Poison,1.0
Grass,Fire,Poison,0.25
Ice,Fire,Poison,0.5
Fighting,Fire,Poison,0.5
Poison,Fire,Poison,0.5
Ground,Fire,Poison,4.0
Flying,Fire,Poison,1.0
Psychic,Fire,Poison,2.0
Bug,Fire,Poison,0.25
Rock,Fire,Poison,2.0
Ghost,Fire,Poison,1.0
Dragon,Fire,Poison,1.0
Dark,Fire,Poison,1.0
Steel,Fire,Poison,0.5
Fairy,Fire,Poison,0.25
Normal,Fire,Ground,1.0
Fire,Fire,Ground,0.5
Water,Fire,Ground,4.0
Electric,Fire,Ground,0.0
Grass,Fire,Ground,1.0
Ice,Fire,Ground,1.0
Fighting,Fire,Ground,1.0
Poison,Fire,Ground,0.5
Ground,Fire,Ground,2.0
Flying,Fire,Ground,1.0
Psychic,Fire,Ground,1.0
Bug,Fire,Ground,0.5
Rock,Fire,Ground,1.0
Ghost,Fire,Ground,1.0
Dragon,Fire,Ground,1.0
Dark,Fire,Ground,1.0
Steel,Fire,Ground,0.5
Fairy,Fire,Ground,0.5
Normal,Fire,Flying,1.0
Fire,Fire,Flying,0.5
Water,Fire,Flying,2.0
Electric,Fire,Flying,2.0
Grass,Fire,Flying,0.25
Ice,Fire,Flying,1.0
Fighting,Fire,Flying,0.5
Poison,Fire,Flying,1.0
Ground,Fire,Flying,0.0
Flying,Fire,Flying,1.0
Psychic,Fire,Flying,1.0
Bug,Fire,Flying,0.25
Rock,Fire,Flying,4.0
Ghost,Fire,Flying,1.0
Dragon,Fire,Flying,1.0
Dark,Fire,Flying,1.0
Steel,Fire,Flying,0.5
Fairy,Fire,Flying,0.5
Normal,Fire,Psychic,1.0
Fire,Fire,Psychic,0.5
Water,Fire,Psychic,2.0
Electric,Fire,Psychic,1.0
Grass,Fire,Psychic,0.5
Ice,Fire,Psychic,0.5
Fighting,Fire,Psychic,0.5
Poison,Fire,Psychic,1.0
Ground,Fire,Psychic,2.0
Flying,Fire,Psychic,1.0
Psychic,Fire,Psychic,0.5
Bug,Fire,Psychic,1.0
Rock,Fire,Psychic,2.0
Ghost,Fire,Psychic,2.0
Dragon,Fire,Psychic,1.0
Dark,Fire,Psychic,2.0
Steel,Fire,Psychic,0.5
Fairy,Fire,Psychic,0.5
Normal,Fire,Bug,1.0
Fire,Fire,Bug,1.0
Water,Fire,Bug,2.0
Electric,Fire,Bug,1.0
Grass,Fire,Bug,0.25
Ice,Fire,Bug,0.5
Fighting,Fire,Bug,0.5
Poison,Fire,Bug,1.0
Ground,Fire,Bug,1.0
Flying,Fire,Bug,2.0
Psychic,Fire,Bug,1.0
Bug,Fire,Bug,0.5
Rock,Fire,Bug,4.0
Ghost,Fire,Bug,1.0
Dragon,Fire,Bug,1.0
Dark,Fire,Bug,1.0
Steel,Fire,Bug,0.5
Fairy,Fire,Bug,0.5
Normal,Fire,Rock,0.5
Fire,Fire,Rock,0.25
Water,Fire,Rock,4.0
Electric,Fire,Rock,1.0
Grass,Fire,Rock,1.0
Ice,Fire,Rock,0.5
Fighting,Fire,Rock,2.0
Poison,Fire,Rock,0.5
Ground,Fire,Rock,4.0
Flying,Fire,Rock,0.5
Psychic,Fire,Rock,1.0
Bug,Fire,Rock,0.5
Rock,Fire,Rock,2.0
Ghost,Fire,Rock,1.0
Dragon,Fire,Rock,1.0
Dark,Fire,Rock,1.0
Steel,Fire,Rock,1.0
Fairy,Fire,Rock,0.5
Normal,Fire,Ghost,0.0
Fire,Fire,Ghost,0.5
Water,Fire,Ghost,2.0
Electric,Fire,Ghost,1.0
Grass,Fire,Ghost,0.5
Ice,Fire,Ghost,0.5
Fighting,Fire,Ghost,0.0
Poison,Fire,Ghost,0.5
Ground,Fire,Ghost,2.0
Flying,Fire,Ghost,1.0
Psychic,Fire,Ghost,1.0
Bug,Fire,Ghost,0.25
Rock,Fire,Ghost,2.0
Ghost,Fire,Ghost,2.0
Dragon,Fire,Ghost,1.0
Dark,Fire,Ghost,2.0
Steel,Fire,Ghost,0.5
Fairy,Fire,Ghost,0.5
Normal,Fire,Dragon,1.0
Fire,Fire,Dragon,0.25
Water,Fire,Dragon,1.0
Electric,Fire,Dragon,0.5
Grass,Fire,Dragon,0.25
Ice,Fire,Dragon,1.0
Fighting,Fire,Dragon,1.0
Poison,Fire,Dragon,1.0
Ground,Fire,Dragon,2.0
Flying,Fire,Dragon,1.0
Psychic,Fire,Dragon,1.0
Bug,Fire,Dragon,0.5
Rock,Fire,Dragon,2.0
Ghost,Fire,Dragon,1.0
Dragon,Fire,Dragon,2.0
Dark,Fire,Dragon,1.0
Steel,Fire,Dragon,0.5
Fairy,Fire,Dragon,1.0
Normal,Fire,Dark,1.0
Fire,Fire,Dark,0.5
Water,Fire,Dark,2.0
Electric,Fire,Dark,1.0
Grass,Fire,Dark,0.5
Ice,Fire,Dark,0.5
Fighting,Fire,Dark,2.0
Poison,Fire,Dark,1.0
Ground,Fire,Dark,2.0
Flying,Fire,Dark,1.0
Psychic,Fire,Dark,0.0
Bug,Fire,Dark,1.0
Rock,Fire,Dark,2.0
Ghost,Fire,Dark,0.5
Dragon,Fire,Dark,1.0
Dark,Fire,Dark,0.5
Steel,Fire,Dark,0.5
Fairy,Fire,Dark,1.0
Normal,Fire,Steel,0.5
Fire,Fire,Steel,1.0
Water,Fire,Steel,2.0
Electric,Fire,Steel,1.0
Grass,Fire,Steel,0.25
Ice,Fire,Steel,0.25
Fighting,Fire,Steel,2.0
Poison,Fire,Steel,0.0
Ground,Fire,Steel,4.0
Flying,Fire,Steel,0.5
Psychic,Fire,Steel,0.5
Bug,Fire,Steel,0.25
Rock,Fire,Steel,1.0
Ghost,Fire,Steel,1.0
Dragon,Fire,Steel,0.5
Dark,Fire,Steel,1.0
Steel,Fire,Steel,0.25
Fairy,Fire,Steel,0.25
Normal,Fire,Fairy,1.0
Fire,Fire,Fairy,0.5
Water,Fire,Fairy,2.0
Electric,Fire,Fairy,1.0
Grass,Fire,Fairy,0.5
Ice,Fire,Fairy,0.5
Fighting,Fire,Fairy,0.5
Poison,Fire,Fairy,2.0
Ground,Fire,Fairy,2.0
Flying,Fire,Fairy,1.0
Psychic,Fire,Fairy,1.0
Bug,Fire,Fairy,0.25
Rock,Fire,Fairy,2.0
Ghost,Fire,Fairy,1.0
Dragon,Fire,Fairy,0.0
Dark,Fire,Fairy,0.5
Steel,Fire,Fairy,1.0
Fairy,Fire,Fairy,0.5
Normal,Water,,1.0
Fire,Water,,0.5
Water,Water,,0.5
Electric,Water,,2.0
Grass,Water,,2.0
Ice,Water,,0.5
Fighting,Water,,1.0
Poison,Water,,1.0
Ground,Water,,1.0
Flying,Water,,1.0
Psychic,Water,,1.0
Bug,Water,,1.0
Rock,Water,,1.0
Ghost,Water,,1.0
Dragon,Water,,1.0
Dark,Water,,1.0
Steel,Water,,0.5
Fairy,Water,,1.0
Normal,Water,Normal,1.0
Fire,Water,Normal,0.5
Water,Water,Normal,0.5
Electric,Water,Normal,2.0
Grass,Water,Normal,2.0
Ice,Water,Normal,0.5
Fighting,Water,Normal,2.0
Poison,Water,Normal,1.0
Ground,Water,Normal,1.0
Flying,Water,Normal,1.0
Psychic,Water,Normal,1.0
Bug,Water,Normal,1.0
Rock,Water,Normal,1.0
Ghost,Water,Normal,0.0
Dragon,Water,Normal,1.0
Dark,Water,Normal,1.0
Steel,Water,Normal,0.5
Fairy,Water,Normal,1.0
Normal,Water,Fire,1.0
Fire,Water,Fire,0.25
Water,Water,Fire,1.0
Electric,Water,Fire,2.0
Grass,Water,Fire,1.0
Ice,Water,Fire,0.25
Fighting,Water,Fire,1.0
Poison,Water,Fire,1.0
Ground,Water,Fire,2.0
Flying,Water,Fire,1.0
Psychic,Water,Fire,1.0
Bug,Water,Fire,0.5
Rock,Water,Fire,2.0
Ghost,Water,Fire,1.0
Dragon,Water,Fire,1.0
Dark,Water,Fire,1.0
Steel,Water,Fire,0.25
Fairy,Water,Fire,0.5
Normal,Water,Electric,1.0
Fire,Water,Electric,0.5
Water,Water,Electric,0.5
Electric,Water,Electric,1.0
Grass,Water,Electric,2.0
Ice,Water,Electric,0.5
Fighting,Water,Electric,1.0
Poison,Water,Electric,1.0
Ground,Water,Electric,2.0
Flying,Water,Electric,0.5
Psychic,Water,Electric,1.0
Bug,Water,Electric,1.0
Rock,Water,Electric,1.0
Ghost,Water,Electric,1.0
Dragon,Water,Electric,1.0
Dark,Water,Electric,1.0
Steel,Water,Electric,0.25
Fairy,Water,Electric,1.0
Normal,Water,Grass,1.0
Fire,Water,Grass,1.0
Water,Water,Grass,0.25
Electric,Water,Grass,1.0
Grass,Water,Grass,1.0
Ice,Water,Grass,1.0
Fighting,Water,Grass,1.0
Poison,Water,Grass,2.0
Ground,Water,Grass,0.5
Flying,Water,Grass,2.0
Psychic,Water,Grass,1.0
Bug,Water,Grass,2.0
Rock,Water,Grass,1.0
Ghost,Water,Grass,1.0
Dragon,Water,Grass,1.0
Dark,Water,Grass,1.0
Steel,Water,Grass,0.5
Fairy,Water,Grass,1.0
Normal,Water,Ice,1.0
Fire,Water,Ice,1.0
Water,Water,Ice,0.5
Electric,Water,Ice,2.0
Grass,Water,Ice,2.0
Ice,Water,Ice,0.25
Fighting,Water,Ice,2.0
Poison,Water,Ice,1.0
Ground,Water,Ice,1.0
Flying,Water,Ice,1.0
Psychic,Water,Ice,1.0
Bug,Water,Ice,1.0
Rock,Water,Ice,2.0
Ghost,Water,Ice,1.0
Dragon,Water,Ice,1.0
Dark,Water,Ice,1.0
Steel,Water,Ice,1.0
Fairy,Water,Ice,1.0
Normal,Water,Fighting,1.0
Fire,Water,Fighting,0.5
Water,Water,Fighting,0.5
Electric,Water,Fighting,2.0
Grass,Water,Fighting,2.0
Ice,Water,Fighting,0.5
Fighting,Water,Fighting,1.0
Poison,Water,Fighting,1.0
Ground,Water,Fighting,1.0
Flying,Water,Fighting,2.0
Psychic,Water,Fighting,2.0
Bug,Water,Fighting,0.5
Rock,Water,Fighting,0.5
Ghost,Water,Fighting,1.0
Dragon,Water,Fighting,1.0
Dark,Water,Fighting,0.5
Steel,Water,Fighting,0.5
Fairy,Water,Fighting,2.0
Normal,Water,Poison,1.0
Fire,Water,Poison,0.5
Water,Water,Poison,0.5
Electric,Water,Poison,2.0
Grass,Water,Poison,1.0
Ice,Water,Poison,0.5
Fighting,Water,Poison,0.5
Poison,Water,Poison,0.5
Ground,Water,Poison,2.0
Flying,Water,Poison,1.0
Psychic,Water,Poison,2.0
Bug,Water,Poison,0.5
Rock,Water,Poison,1.0
Ghost,Water,Poison,1.0
Dragon,Water,Poison,1.0
Dark,Water,Poison,1.0
Steel,Water,Poison,0.5
Fairy,Water,Poison,0.5
Normal,Water,Ground,1.0
Fire,Water,Ground,0.5
Water,Water,Ground,1.0
Electric,Water,Ground,0.0
Grass,Water,Ground,4.0
Ice,Water,Ground,1.0
Fighting,Water,Ground,1.0
Poison,Water,Ground,0.5
Ground,Water,Ground,1.0
Flying,Water,Ground,1.0
Psychic,Water,Ground,1.0
Bug,Water,Ground,1.0
Rock,Water,Ground,0.5
Ghost,Water,Ground,1.0
Dragon,Water,Ground,1.0
Dark,Water,Ground,1.0
Steel,Water,Ground,0.5
Fairy,Water,Ground,1.0
Normal,Water,Flying,1.0
Fire,Water,Flying,0.5
Water,Water,Flying,0.5
Electric,Water,Flying,4.0
Grass,Water,Flying,1.0
Ice,Water,Flying,1.0
Fighting,Water,Flying,0.5
Poison,Water,Flying,1.0
Ground,Water,Flying,0.0
Flying,Water,Flying,1.0
Psychic,Water,Flying,1.0
Bug,Water,Flying,0.5
Rock,Water,Flying,2.0
Ghost,Water,Flying,1.0
Dragon,Water,Flying,1.0
Dark,Water,Flying,1.0
Steel,Water,Flying,0.5
Fairy,Water,Flying,1.0
Normal,Water,Psychic,1.0
Fire,Water,Psychic,0.5
Water,Water,Psychic,0.5
Electric,Water,Psychic,2.0
Grass,Water,Psychic,2.0
Ice,Water,Psychic,0.5
Fighting,Water,Psychic,0.5
Poison,Water,Psychic,1.0
Ground,Water,Psychic,1.0
Flying,Water,Psychic,1.0
Psychic,Water,Psychic,0.5
Bug,Water,Psychic,2.0
Rock,Water,Psychic,1.0
Ghost,Water,Psychic,2.0
Dragon,Water,Psychic,1.0
Dark,Water,Psychic,2.0
Steel,Water,Psychic,0.5
Fairy,Water,Psychic,1.0
Normal,Water,Bug,1.0
Fire,Water,Bug,1.0
Water,Water,Bug,0.5
Electric,Water,Bug,2.0
Grass,Water,Bug,1.0
Ice,Water,Bug,0.5
Fighting,Water,Bug,0.5
Poison,Water,Bug,1.0
Ground,Water,Bug,0.5
Flying,Water,Bug,2.0
Psychic,Water,Bug,1.0
Bug,Water,Bug,1.0
Rock,Water,Bug,2.0
Ghost,Water,Bug,1.0
Dragon,Water,Bug,1.0
Dark,Water,Bug,1.0
Steel,Water,Bug,0.5
Fairy,Water,Bug,1.0
Normal,Water,Rock,0.5
Fire,Water,Rock,0.25
Water,Water,Rock,1.0
Electric,Water,Rock,2.0
Grass,Water,Rock,4.0
Ice,Water,Rock,0.5
Fighting,Water,Rock,2.0
Poison,Water,Rock,0.5
Ground,Water,Rock,2.0
Flying,Water,Rock,0.5
